CrimeId,Count,Type,Cleared,LocationId
1,27,0,0,265
2,30,4,0,103
3,9,4,1,519
4,5,6,1,865
5,0,5,1,559
6,28,6,0,165
7,0,3,0,792
8,30,2,0,605
9,24,5,0,144
10,17,2,1,174
11,12,5,0,432
12,16,3,1,165
13,9,5,0,189
14,6,0,0,912
15,25,3,1,28
16,23,6,1,408
17,0,3,0,185
18,22,1,0,142
19,28,2,0,319
20,19,3,1,154
21,7,5,1,715
22,15,2,1,146
23,1,4,1,2
24,2,4,1,596
25,13,0,0,950
26,8,5,0,6
27,1,1,0,704
28,12,1,1,873
29,15,6,1,494
30,22,3,1,788
31,9,5,1,5
32,29,0,0,24
33,7,5,1,867
34,3,2,0,811
35,19,4,0,896
36,12,1,0,745
37,27,0,1,241
38,0,5,0,463
39,16,0,1,673
40,15,5,1,5
41,28,5,1,552
42,27,3,1,632
43,27,3,1,973
44,26,1,0,758
45,24,5,0,746
46,9,4,1,2
47,5,4,0,87
48,9,4,1,144
49,0,3,1,342
50,8,1,1,6
51,22,5,0,457
52,12,6,0,320
53,13,1,0,665
54,15,3,1,846
55,2,2,1,60
56,29,4,1,309
57,25,1,1,808
58,16,0,1,910
59,18,2,1,313
60,14,6,0,460
61,17,1,1,372
62,10,0,0,605
63,5,5,1,795
64,29,0,0,434
65,21,6,0,22
66,13,0,0,719
67,13,1,1,87
68,24,5,1,822
69,19,1,0,763
70,30,0,0,517
71,8,2,0,915
72,14,5,0,296
73,26,6,1,80
74,9,1,0,111
75,9,1,1,761
76,19,1,0,790
77,22,0,0,9
78,26,3,1,884
79,24,6,0,904
80,3,4,0,772
81,5,0,0,97
82,12,4,1,252
83,30,5,1,872
84,14,5,1,564
85,10,0,1,671
86,4,3,1,404
87,2,5,1,102
88,24,2,0,340
89,6,5,1,548
90,2,6,1,369
91,21,3,1,108
92,10,1,1,898
93,4,4,1,891
94,15,0,1,767
95,4,2,0,129
96,1,5,1,154
97,9,0,1,709
98,12,6,1,531
99,1,6,0,841
100,25,5,0,331
101,26,0,1,143
102,29,5,0,805
103,1,0,0,653
104,12,2,1,811
105,2,4,1,137
106,27,3,1,413
107,21,0,0,70
108,9,0,0,65
109,11,5,0,473
110,3,3,0,597
111,7,5,1,547
112,8,4,1,906
113,9,6,1,257
114,23,0,1,793
115,14,4,1,575
116,15,1,1,532
117,16,3,0,287
