RestaurantId,LocationId,Hours,Stars,Category,RestaurantName
1,1,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",5.0,"Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists","Abby Rappoport, LAC, CMQ"
2,2,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.0,"Shipping Centers, Local Services, Notaries, Mailbox Centers, Printing Services",The UPS Store
3,3,"Monday: 8:0-22:0
Tuesday: 8:0-22:0
Wednesday: 8:0-22:0
Thursday: 8:0-22:0
Friday: 8:0-23:0
Saturday: 8:0-23:0
Sunday: 8:0-22:0",3.5,"Department Stores, Shopping, Fashion, Home & Garden, Electronics, Furniture Stores",Target
4,4,"Monday: 7:0-20:0
Tuesday: 7:0-20:0
Wednesday: 7:0-20:0
Thursday: 7:0-20:0
Friday: 7:0-21:0
Saturday: 7:0-21:0
Sunday: 7:0-21:0",4.0,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",St Honore Pastries
5,5,"Monday: Closed
Tuesday: Closed
Wednesday: 14:0-22:0
Thursday: 16:0-22:0
Friday: 12:0-22:0
Saturday: 12:0-22:0
Sunday: 12:0-18:0",4.5,"Brewpubs, Breweries, Food",Perkiomen Valley Brewery
6,6,"Monday: 0:0-0:0
Tuesday: 6:0-22:0
Wednesday: 6:0-22:0
Thursday: 6:0-22:0
Friday: 9:0-0:0
Saturday: 9:0-22:0
Sunday: 8:0-22:0",2.0,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",Sonic Drive-In
7,7,"Monday: 0:0-0:0
Tuesday: 10:0-18:0
Wednesday: 10:0-18:0
Thursday: 10:0-18:0
Friday: 10:0-18:0
Saturday: 10:0-18:0
Sunday: 12:0-18:0",2.5,"Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Accessories",Famous Footwear
8,8,"Monday: 9:0-17:0
Tuesday: 9:0-17:0
Wednesday: 9:0-17:0
Thursday: 9:0-17:0
Friday: 9:0-17:0
Saturday: Closed
Sunday: Closed",3.5,"Synagogues, Religious Organizations",Temple Beth-El
9,9,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.0,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek",Tsevi's Pub And Grill
10,10,"Monday: 0:0-0:0
Tuesday: 6:0-21:0
Wednesday: 6:0-21:0
Thursday: 6:0-16:0
Friday: 6:0-16:0
Saturday: 6:0-17:0
Sunday: 6:0-21:0",1.5,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",Sonic Drive-In
11,11,"Monday: 9:30-21:30
Tuesday: 9:30-21:30
Wednesday: 9:30-21:30
Thursday: 9:30-21:30
Friday: 9:30-21:30
Saturday: 9:30-21:30
Sunday: 10:0-20:0",3.5,"Department Stores, Shopping, Fashion",Marshalls
12,12,"Monday: 11:0-14:0
Tuesday: 11:0-14:0
Wednesday: 11:0-14:0
Thursday: 11:0-14:0
Friday: 11:0-14:0
Saturday: 5:0-10:0
Sunday: 15:0-18:0",4.0,"Vietnamese, Food, Restaurants, Food Trucks",Vietnamese Food Truck
13,13,"Monday: 6:0-22:0
Tuesday: 6:0-22:0
Wednesday: 6:0-22:0
Thursday: 6:0-22:0
Friday: 6:0-22:0
Saturday: 6:0-22:0
Sunday: 6:0-22:0",2.5,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",Denny's
14,14,"Monday: 7:30-15:30
Tuesday: 7:30-15:30
Wednesday: 7:30-15:30
Thursday: 7:30-15:30
Friday: Closed
Saturday: Closed
Sunday: Closed",5.0,"General Dentistry, Dentists, Health & Medical, Cosmetic Dentists",Adams Dental
15,15,"Monday: 10:0-18:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-20:0
Saturday: 10:0-20:0
Sunday: Closed",4.5,"Food, Delis, Italian, Bakeries, Restaurants",Zio's Italian Market
16,16,"Monday: Closed
Tuesday: 13:30-22:0
Wednesday: 13:30-22:0
Thursday: 13:30-22:0
Friday: 13:30-23:0
Saturday: 13:30-23:0
Sunday: 13:30-22:0",4.0,"Sushi Bars, Restaurants, Japanese",Tuna Bar
17,17,"Monday: 0:0-0:0
Tuesday: 8:0-17:0
Wednesday: 8:0-17:0
Thursday: 8:0-17:0
Friday: 8:0-17:0
Saturday: 8:0-14:0
Sunday: 0:0-0:0",4.5,"Automotive, Auto Parts & Supplies, Auto Customization",Arizona Truck Outfitters
18,18,"Monday: 10:0-19:0
Tuesday: 10:0-19:0
Wednesday: 10:0-19:0
Thursday: 10:0-19:0
Friday: 10:0-19:0
Saturday: 10:0-19:0
Sunday: 10:0-19:0",4.0,"Vape Shops, Tobacco Shops, Personal Shopping, Vitamins & Supplements, Shopping",Herb Import Co
19,19,"Monday: 8:0-17:0
Tuesday: 8:0-17:0
Wednesday: 8:0-17:0
Thursday: 8:0-17:0
Friday: 8:0-17:0
Saturday: 9:0-15:0
Sunday: 9:0-12:0",3.5,"Automotive, Car Rental, Hotels & Travel, Truck Rental",Nifty Car Rental
20,20,"Monday: 11:30-20:30
Tuesday: 11:30-20:30
Wednesday: 11:30-20:30
Thursday: 11:30-20:30
Friday: 11:30-20:30
Saturday: 11:30-20:30
Sunday: Closed",4.5,"Korean, Restaurants",BAP
21,21,"Monday: 8:0-18:0
Tuesday: 8:0-18:0
Wednesday: 8:0-18:0
Thursday: 8:0-18:0
Friday: 8:0-18:0
Saturday: 8:0-18:0
Sunday: 10:0-17:0",4.0,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",Roast Coffeehouse and Wine Bar
