RestaurantId,LocationId,Hours,Stars,Category,RestaurantName
1,958,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",5.0,Moist,"Abby Rappoport, LAC, CMQ"
2,419,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.0,Rich,The UPS Store
3,679,"Monday: 8:0-22:0
Tuesday: 8:0-22:0
Wednesday: 8:0-22:0
Thursday: 8:0-22:0
Friday: 8:0-23:0
Saturday: 8:0-23:0
Sunday: 8:0-22:0",3.5,Nutty,Target
4,27,"Monday: 7:0-20:0
Tuesday: 7:0-20:0
Wednesday: 7:0-20:0
Thursday: 7:0-20:0
Friday: 7:0-21:0
Saturday: 7:0-21:0
Sunday: 7:0-21:0",4.0,Bitter,St Honore Pastries
5,202,"Monday: Closed
Tuesday: Closed
Wednesday: 14:0-22:0
Thursday: 16:0-22:0
Friday: 12:0-22:0
Saturday: 12:0-22:0
Sunday: 12:0-18:0",4.5,Sour,Perkiomen Valley Brewery
6,258,"Monday: 0:0-0:0
Tuesday: 6:0-22:0
Wednesday: 6:0-22:0
Thursday: 6:0-22:0
Friday: 9:0-0:0
Saturday: 9:0-22:0
Sunday: 8:0-22:0",2.0,Creamy,Sonic Drive-In
7,565,"Monday: 0:0-0:0
Tuesday: 10:0-18:0
Wednesday: 10:0-18:0
Thursday: 10:0-18:0
Friday: 10:0-18:0
Saturday: 10:0-18:0
Sunday: 12:0-18:0",2.5,Gooey,Famous Footwear
8,146,"Monday: 9:0-17:0
Tuesday: 9:0-17:0
Wednesday: 9:0-17:0
Thursday: 9:0-17:0
Friday: 9:0-17:0
Saturday: Closed
Sunday: Closed",3.5,Fiery,Temple Beth-El
9,398,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.0,Smokey,Tsevi's Pub And Grill
10,368,"Monday: 0:0-0:0
Tuesday: 6:0-21:0
Wednesday: 6:0-21:0
Thursday: 6:0-16:0
Friday: 6:0-16:0
Saturday: 6:0-17:0
Sunday: 6:0-21:0",1.5,Rich,Sonic Drive-In
11,917,"Monday: 9:30-21:30
Tuesday: 9:30-21:30
Wednesday: 9:30-21:30
Thursday: 9:30-21:30
Friday: 9:30-21:30
Saturday: 9:30-21:30
Sunday: 10:0-20:0",3.5,Cheesy,Marshalls
12,685,"Monday: 11:0-14:0
Tuesday: 11:0-14:0
Wednesday: 11:0-14:0
Thursday: 11:0-14:0
Friday: 11:0-14:0
Saturday: 5:0-10:0
Sunday: 15:0-18:0",4.0,Crunchy,Vietnamese Food Truck
13,693,"Monday: 6:0-22:0
Tuesday: 6:0-22:0
Wednesday: 6:0-22:0
Thursday: 6:0-22:0
Friday: 6:0-22:0
Saturday: 6:0-22:0
Sunday: 6:0-22:0",2.5,Moist,Denny's
14,419,"Monday: 7:30-15:30
Tuesday: 7:30-15:30
Wednesday: 7:30-15:30
Thursday: 7:30-15:30
Friday: Closed
Saturday: Closed
Sunday: Closed",5.0,Mild,Adams Dental
15,739,"Monday: 10:0-18:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-20:0
Saturday: 10:0-20:0
Sunday: Closed",4.5,Fiery,Zio's Italian Market
